Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
”»  π384;2564†;2412†;12†;12†;2412†;0†;0.0017;0.0029;0.0000;0.9534;0.0070;0.0004;0.0000;0.0000;0.0037;0.0017;0.0004;0.0004;0.0012;0.0272
”»  π437;2929†;2760†;13†;13†;2760†;2†;0.0126;0.0040;0.0007;0.9524;0.0087;0.0004;0.0000;0.0000;0.0018;0.0007;0.0000;0.0000;0.0047;0.0133
”»  π385;1239†;1156†;5†;5†;1156†;0†;0.0017;0.0086;0.0017;0.9767;0.0009;0.0000;0.0000;0.0009;0.0009;0.0000;0.0000;0.0000;0.0026;0.0060
”»  π386;2420†;2293†;8†;8†;2293†;1†;0.0017;0.0130;0.0013;0.9761;0.0000;0.0004;0.0000;0.0000;0.0009;0.0004;0.0000;0.0000;0.0017;0.0039
”»  π387;2458†;2334†;12†;12†;2334†;0†;0.0021;0.0209;0.0009;0.9685;0.0004;0.0000;0.0000;0.0004;0.0000;0.0004;0.0004;0.0000;0.0026;0.0034
”»  π388;2444†;2307†;11†;11†;2307†;0†;0.0013;0.0203;0.0004;0.9702;0.0000;0.0004;0.0000;0.0000;0.0004;0.0000;0.0000;0.0000;0.0022;0.0047
”»  π389;2862†;2712†;12†;12†;2712†;1†;0.0018;0.0110;0.0011;0.9761;0.0007;0.0000;0.0004;0.0000;0.0007;0.0004;0.0000;0.0000;0.0015;0.0059
”»  π390;2041†;1909†;9†;9†;1909†;0†;0.0016;0.0099;0.0005;0.9755;0.0005;0.0000;0.0000;0.0005;0.0000;0.0005;0.0005;0.0000;0.0031;0.0073
”»  π391;2622†;2483†;10†;10†;2483†;1†;0.0016;0.0096;0.0016;0.9771;0.0000;0.0004;0.0000;0.0000;0.0004;0.0004;0.0000;0.0000;0.0020;0.0064
”»  π392;2708†;2536†;8†;8†;2536†;0†;0.0024;0.0165;0.0008;0.9682;0.0004;0.0000;0.0000;0.0004;0.0008;0.0004;0.0004;0.0000;0.0028;0.0071
”»  π393;2598†;2432†;8†;8†;2432†;1†;0.0029;0.0127;0.0004;0.9750;0.0000;0.0000;0.0004;0.0000;0.0004;0.0000;0.0000;0.0000;0.0020;0.0057
”»  π394;2255†;2133†;5†;5†;2133†;0†;0.0014;0.0098;0.0005;0.9766;0.0005;0.0000;0.0000;0.0005;0.0000;0.0009;0.0005;0.0000;0.0028;0.0065
”»  π395;2438†;2312†;6†;6†;2312†;1†;0.0017;0.0129;0.0009;0.9711;0.0000;0.0004;0.0000;0.0000;0.0009;0.0004;0.0000;0.0000;0.0022;0.0091
”»  π396;1671†;1577†;6†;6†;1577†;0†;0.0013;0.0120;0.0006;0.9722;0.0006;0.0000;0.0000;0.0000;0.0006;0.0013;0.0006;0.0006;0.0019;0.0082
”»  π397;2251†;2132†;7†;7†;2132†;0†;0.0023;0.0084;0.0014;0.9766;0.0000;0.0000;0.0005;0.0000;0.0009;0.0005;0.0000;0.0000;0.0019;0.0075
”»  π398;2183†;2029†;11†;11†;2029†;1†;0.0015;0.0181;0.0010;0.9706;0.0005;0.0000;0.0000;0.0000;0.0000;0.0005;0.0000;0.0000;0.0015;0.0059
”»  π399;2109†;1979†;5†;5†;1979†;0†;0.0020;0.0212;0.0005;0.9667;0.0005;0.0000;0.0000;0.0000;0.0005;0.0000;0.0005;0.0005;0.0020;0.0055
”»  π400;1137†;1058†;8†;8†;1058†;0†;0.0019;0.0103;0.0019;0.9672;0.0019;0.0000;0.0000;0.0000;0.0009;0.0000;0.0000;0.0000;0.0028;0.0131
”»  π438;2993†;2795†;13†;13†;2795†;1†;0.0018;0.0150;0.0011;0.9754;0.0000;0.0000;0.0000;0.0004;0.0000;0.0004;0.0000;0.0000;0.0014;0.0043
”»  π439;1935†;1827†;9†;9†;1827†;0†;0.0016;0.0065;0.0011;0.9755;0.0005;0.0000;0.0000;0.0000;0.0011;0.0005;0.0005;0.0005;0.0027;0.0093
”»  π440;669†;625†;4†;4†;625†;0†;0.0016;0.0143;0.0000;0.9618;0.0000;0.0016;0.0000;0.0000;0.0016;0.0032;0.0000;0.0000;0.0048;0.0111
”»  π459;1768†;1267†;0†;500†;1267†;0†;0.0023;0.0113;0.0011;0.9751;0.0000;0.0000;0.0000;0.0000;0.0006;0.0011;0.0000;0.0000;0.0023;0.0062
”»  π460;1292†;1292†;0†;0†;1292†;0†;0.0023;0.0046;0.0008;0.9814;0.0008;0.0000;0.0000;0.0000;0.0008;0.0015;0.0008;0.0008;0.0015;0.0046
”»  π465;160†;148†;0†;0†;148†;0†;0.0068;0.0203;0.0135;0.9392;0.0000;0.0000;0.0000;0.0068;0.0000;0.0068;0.0000;0.0000;0.0000;0.0068
”»  π466;250†;236†;0†;0†;236†;0†;0.0000;0.0085;0.0042;0.9492;0.0085;0.0000;0.0000;0.0000;0.0085;0.0000;0.0042;0.0042;0.0085;0.0042
”»  π467;200†;188†;0†;0†;188†;0†;0.0106;0.0053;0.0000;0.9521;0.0053;0.0000;0.0000;0.0000;0.0053;0.0053;0.0000;0.0000;0.0053;0.0106
”»  π401;1624†;1479†;5†;5†;1479†;0†;0.0034;0.0054;0.0013;0.9360;0.0013;0.0007;0.0000;0.0000;0.0013;0.0000;0.0007;0.0000;0.0020;0.0478
”»  π402;2130†;1962†;6†;6†;1962†;1†;0.0030;0.0061;0.0015;0.9426;0.0030;0.0000;0.0000;0.0005;0.0015;0.0005;0.0000;0.0000;0.0010;0.0396
”»  π403;1114†;1055†;4†;4†;1055†;0†;0.0028;0.0132;0.0009;0.9358;0.0038;0.0000;0.0000;0.0000;0.0009;0.0000;0.0000;0.0009;0.0038;0.0378
”»  π404;2008†;1833†;7†;7†;1833†;1†;0.0027;0.0060;0.0011;0.9527;0.0033;0.0005;0.0000;0.0000;0.0011;0.0005;0.0005;0.0000;0.0016;0.0293
”»  π405;2542†;2341†;8†;8†;2341†;1†;0.0034;0.0060;0.0013;0.9549;0.0038;0.0000;0.0004;0.0000;0.0013;0.0009;0.0000;0.0000;0.0021;0.0255
”»  π406;2561†;2328†;6†;6†;2328†;0†;0.0026;0.0043;0.0009;0.9503;0.0021;0.0004;0.0000;0.0000;0.0017;0.0000;0.0004;0.0000;0.0017;0.0356
”»  π407;2265†;2034†;10†;10†;2034†;0†;0.0020;0.0117;0.0005;0.9437;0.0015;0.0000;0.0000;0.0005;0.0000;0.0010;0.0000;0.0000;0.0024;0.0367
”»  π408;2741†;2518†;14†;14†;2518†;1†;0.0036;0.0087;0.0008;0.9455;0.0024;0.0004;0.0000;0.0000;0.0012;0.0004;0.0004;0.0004;0.0028;0.0332
”»  π409;2215†;2052†;12†;12†;2052†;1†;0.0024;0.0097;0.0005;0.9496;0.0019;0.0000;0.0005;0.0000;0.0010;0.0010;0.0000;0.0000;0.0000;0.0329
”»  π410;1605†;1465†;8†;8†;1465†;0†;0.0027;0.0122;0.0014;0.9260;0.0034;0.0007;0.0000;0.0000;0.0027;0.0007;0.0007;0.0000;0.0020;0.0475
”»  π411;2442†;2244†;13†;13†;2244†;1†;0.0027;0.0049;0.0013;0.9601;0.0031;0.0000;0.0000;0.0000;0.0013;0.0000;0.0000;0.0000;0.0031;0.0230
”»  π412;1820†;1658†;6†;6†;1658†;0†;0.0024;0.0102;0.0012;0.9483;0.0024;0.0006;0.0000;0.0000;0.0012;0.0000;0.0006;0.0000;0.0030;0.0300
”»  π413;760†;703†;5†;5†;703†;0†;0.0042;0.0169;0.0000;0.9379;0.0042;0.0000;0.0028;0.0000;0.0042;0.0014;0.0000;0.0000;0.0056;0.0226
”»  π414;562†;505†;2†;2†;505†;0†;0.0039;0.0118;0.0000;0.9389;0.0039;0.0000;0.0000;0.0000;0.0039;0.0039;0.0020;0.0000;0.0059;0.0256
”»  π415;2214†;2011†;6†;6†;2011†;1†;0.0025;0.0104;0.0015;0.9484;0.0030;0.0000;0.0000;0.0000;0.0005;0.0005;0.0000;0.0005;0.0030;0.0293
”»  π416;2033†;1888†;4†;4†;1888†;0†;0.0021;0.0042;0.0021;0.9434;0.0021;0.0000;0.0005;0.0000;0.0016;0.0000;0.0005;0.0000;0.0037;0.0396
”»  π417;1325†;1221†;2†;2†;1221†;0†;0.0041;0.0074;0.0016;0.9428;0.0025;0.0008;0.0000;0.0000;0.0016;0.0000;0.0000;0.0000;0.0025;0.0368
”»  π418;1040†;948†;4†;4†;948†;0†;0.0032;0.0074;0.0011;0.9412;0.0021;0.0000;0.0000;0.0000;0.0032;0.0011;0.0000;0.0000;0.0063;0.0347
”»  π441;2364†;2164†;11†;11†;2164†;0†;0.0028;0.0074;0.0014;0.9563;0.0028;0.0000;0.0000;0.0000;0.0005;0.0000;0.0000;0.0000;0.0018;0.0271
”»  π461;2476†;1302†;0†;1174†;1302†;1†;0.0028;0.0057;0.0020;0.9414;0.0028;0.0004;0.0004;0.0008;0.0032;0.0012;0.0004;0.0000;0.0044;0.0339
”»  π462;1206†;912†;0†;294†;912†;0†;0.0066;0.0050;0.0033;0.9420;0.0075;0.0000;0.0008;0.0025;0.0083;0.0017;0.0000;0.0008;0.0075;0.0141
”»  π468;520†;478†;0†;0†;478†;0†;0.0084;0.0063;0.0063;0.9393;0.0063;0.0021;0.0000;0.0021;0.0042;0.0021;0.0000;0.0000;0.0042;0.0188
”»  π419;1574†;1493†;5†;5†;1493†;1†;0.0013;0.0073;0.0033;0.9653;0.0033;0.0013;0.0000;0.0000;0.0020;0.0007;0.0013;0.0007;0.0047;0.0080
”»  π420;1639†;1532†;8†;8†;1532†;1†;0.0006;0.0058;0.0026;0.9552;0.0039;0.0000;0.0000;0.0000;0.0032;0.0013;0.0006;0.0000;0.0071;0.0188
”»  π421;2524†;2385†;13†;13†;2385†;2†;0.0008;0.0029;0.0025;0.9658;0.0029;0.0004;0.0000;0.0000;0.0017;0.0013;0.0004;0.0004;0.0038;0.0163
”»  π422;2167†;2058†;11†;11†;2058†;1†;0.0014;0.0063;0.0014;0.9575;0.0048;0.0010;0.0000;0.0000;0.0010;0.0005;0.0010;0.0005;0.0058;0.0184
”»  π423;2481†;2329†;14†;14†;2329†;2†;0.0021;0.0047;0.0009;0.9676;0.0034;0.0000;0.0000;0.0000;0.0009;0.0004;0.0000;0.0000;0.0060;0.0132
”»  π424;2384†;2256†;12†;12†;2256†;1†;0.0013;0.0075;0.0018;0.9586;0.0053;0.0000;0.0004;0.0000;0.0013;0.0000;0.0009;0.0000;0.0031;0.0194
”»  π425;2495†;2326†;13†;13†;2326†;2†;0.0017;0.0043;0.0026;0.9692;0.0047;0.0009;0.0000;0.0000;0.0021;0.0009;0.0004;0.0000;0.0060;0.0064
”»  π426;2085†;1988†;8†;8†;1988†;1†;0.0035;0.0070;0.0010;0.9649;0.0035;0.0005;0.0000;0.0000;0.0020;0.0015;0.0000;0.0005;0.0045;0.0105
”»  π427;2469†;2365†;7†;7†;2365†;1†;0.0013;0.0067;0.0013;0.9650;0.0038;0.0000;0.0000;0.0000;0.0008;0.0004;0.0013;0.0000;0.0025;0.0164
”»  π428;2150†;2012†;10†;10†;2012†;1†;0.0015;0.0035;0.0025;0.9619;0.0049;0.0010;0.0000;0.0000;0.0015;0.0010;0.0000;0.0005;0.0059;0.0153
”»  π429;2207†;2093†;6†;6†;2093†;1†;0.0033;0.0067;0.0010;0.9643;0.0076;0.0000;0.0000;0.0000;0.0010;0.0005;0.0010;0.0000;0.0043;0.0100
”»  π430;2282†;2184†;8†;8†;2184†;1†;0.0032;0.0059;0.0005;0.9667;0.0050;0.0005;0.0000;0.0000;0.0009;0.0005;0.0000;0.0000;0.0064;0.0100
”»  π431;2040†;1923†;9†;9†;1923†;1†;0.0026;0.0088;0.0010;0.9674;0.0067;0.0010;0.0000;0.0000;0.0005;0.0000;0.0005;0.0005;0.0041;0.0062
”»  π432;2219†;2070†;5†;5†;2070†;1†;0.0014;0.0072;0.0019;0.9595;0.0072;0.0005;0.0005;0.0000;0.0014;0.0005;0.0000;0.0000;0.0029;0.0164
”»  π433;2159†;2050†;3†;3†;2050†;1†;0.0024;0.0029;0.0010;0.9688;0.0044;0.0010;0.0000;0.0000;0.0010;0.0005;0.0000;0.0005;0.0034;0.0136
”»  π442;2117†;1996†;5†;5†;1996†;1†;0.0015;0.0065;0.0020;0.9545;0.0035;0.0005;0.0000;0.0000;0.0005;0.0000;0.0005;0.0000;0.0025;0.0275
”»  π443;2432†;2311†;6†;6†;2311†;1†;0.0030;0.0039;0.0013;0.9547;0.0060;0.0000;0.0000;0.0000;0.0009;0.0004;0.0000;0.0004;0.0026;0.0263
”»  π444;1291†;1210†;4†;4†;1210†;1†;0.0049;0.0132;0.0033;0.9448;0.0033;0.0008;0.0000;0.0000;0.0025;0.0000;0.0016;0.0000;0.0041;0.0206
”»  π103;1465†;1385†;4†;4†;1385†;0†;0.0022;0.0058;0.0007;0.9777;0.0043;0.0000;0.0000;0.0000;0.0022;0.0007;0.0000;0.0000;0.0050;0.0014
”»  π104;2863†;2775†;11†;11†;2775†;1†;0.0007;0.0065;0.0007;0.9777;0.0039;0.0000;0.0004;0.0000;0.0018;0.0011;0.0004;0.0000;0.0050;0.0014
”»  π105;1600†;1513†;8†;8†;1513†;0†;0.0053;0.0059;0.0020;0.9783;0.0013;0.0000;0.0000;0.0000;0.0013;0.0007;0.0000;0.0000;0.0046;0.0007
”»  π106;3033†;2924†;12†;12†;2924†;1†;0.0024;0.0072;0.0031;0.9779;0.0031;0.0003;0.0000;0.0003;0.0024;0.0000;0.0000;0.0000;0.0010;0.0020
”»  π107;2989†;2872†;14†;14†;2872†;0†;0.0024;0.0049;0.0042;0.9782;0.0042;0.0000;0.0003;0.0000;0.0010;0.0000;0.0003;0.0000;0.0028;0.0017
”»  π108;1305†;1226†;6†;6†;1226†;1†;0.0024;0.0081;0.0016;0.9773;0.0032;0.0000;0.0000;0.0000;0.0016;0.0000;0.0000;0.0000;0.0049;0.0000
”»  π109;1842†;1755†;4†;4†;1755†;0†;0.0051;0.0074;0.0006;0.9778;0.0017;0.0000;0.0000;0.0000;0.0017;0.0000;0.0011;0.0000;0.0040;0.0006
”»  π110;1107†;1037†;4†;4†;1037†;1†;0.0019;0.0058;0.0038;0.9769;0.0048;0.0000;0.0000;0.0000;0.0019;0.0000;0.0000;0.0000;0.0019;0.0019
”»  π111;1343†;1291†;5†;5†;1291†;0†;0.0046;0.0069;0.0000;0.9784;0.0023;0.0000;0.0000;0.0000;0.0008;0.0015;0.0000;0.0000;0.0031;0.0023
”»  π112;1379†;1304†;4†;4†;1304†;1†;0.0038;0.0084;0.0000;0.9771;0.0061;0.0000;0.0000;0.0000;0.0015;0.0008;0.0000;0.0000;0.0008;0.0008
”»  π113;1835†;1752†;6†;6†;1752†;0†;0.0017;0.0080;0.0011;0.9778;0.0028;0.0000;0.0000;0.0000;0.0017;0.0000;0.0006;0.0000;0.0051;0.0011
”»  π114;2946†;2828†;14†;14†;2828†;0†;0.0039;0.0060;0.0025;0.9782;0.0025;0.0000;0.0004;0.0000;0.0014;0.0007;0.0007;0.0000;0.0028;0.0011
”»  π115;1867†;1776†;6†;6†;1776†;1†;0.0034;0.0067;0.0017;0.9776;0.0051;0.0000;0.0000;0.0000;0.0006;0.0000;0.0000;0.0000;0.0039;0.0006
”»  π116;1462†;1384†;3†;3†;1384†;1†;0.0043;0.0072;0.0000;0.9776;0.0036;0.0000;0.0000;0.0000;0.0014;0.0007;0.0000;0.0000;0.0036;0.0007
”»  π117;1596†;1535†;4†;4†;1535†;2†;0.0013;0.0058;0.0006;0.9773;0.0045;0.0000;0.0000;0.0000;0.0019;0.0000;0.0000;0.0000;0.0039;0.0032
”»  π118;1936†;1867†;5†;5†;1867†;0†;0.0064;0.0075;0.0000;0.9781;0.0027;0.0000;0.0000;0.0000;0.0005;0.0000;0.0000;0.0000;0.0027;0.0021
”»  π119;478†;450†;0†;0†;450†;0†;0.0000;0.0156;0.0022;0.9778;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0044
”»  π120;1799†;1707†;6†;6†;1707†;1†;0.0023;0.0105;0.0006;0.9772;0.0023;0.0000;0.0000;0.0000;0.0006;0.0006;0.0000;0.0000;0.0047;0.0006
”»  π121;2784†;2690†;7†;7†;2690†;0†;0.0048;0.0085;0.0004;0.9789;0.0026;0.0000;0.0000;0.0004;0.0007;0.0000;0.0000;0.0000;0.0019;0.0019
”»  π122;2953†;2878†;6†;6†;2878†;0†;0.0052;0.0073;0.0014;0.9785;0.0021;0.0000;0.0003;0.0000;0.0010;0.0007;0.0000;0.0000;0.0021;0.0014
”»  π123;2120†;2037†;5†;5†;2037†;0†;0.0039;0.0073;0.0000;0.9780;0.0039;0.0000;0.0000;0.0000;0.0015;0.0005;0.0000;0.0000;0.0034;0.0015
”»  π124;1006†;950†;4†;4†;950†;1†;0.0031;0.0115;0.0010;0.9769;0.0031;0.0000;0.0000;0.0000;0.0000;0.0010;0.0000;0.0000;0.0021;0.0000
”»  π125;1308†;1239†;7†;7†;1239†;0†;0.0048;0.0112;0.0008;0.9775;0.0032;0.0000;0.0000;0.0000;0.0008;0.0000;0.0000;0.0000;0.0016;0.0000
”»  π126;1814†;1716†;6†;6†;1716†;1†;0.0029;0.0105;0.0006;0.9791;0.0041;0.0000;0.0000;0.0000;0.0006;0.0000;0.0000;0.0000;0.0017;0.0000
”»  π127;1982†;1886†;8†;8†;1886†;0†;0.0037;0.0111;0.0000;0.9784;0.0048;0.0000;0.0000;0.0000;0.0011;0.0000;0.0000;0.0000;0.0011;0.0000
”»  π128;1021†;961†;3†;3†;961†;1†;0.0041;0.0093;0.0000;0.9772;0.0052;0.0000;0.0000;0.0000;0.0010;0.0000;0.0000;0.0000;0.0021;0.0000
”»  π129;809†;768†;2†;2†;768†;2†;0.0026;0.0078;0.0000;0.9753;0.0026;0.0000;0.0000;0.0000;0.0000;0.0039;0.0000;0.0000;0.0039;0.0013
”»  π130;2208†;2117†;8†;8†;2117†;0†;0.0038;0.0080;0.0009;0.9779;0.0038;0.0005;0.0005;0.0000;0.0009;0.0014;0.0000;0.0000;0.0009;0.0014
”»  π131;1588†;1502†;6†;6†;1502†;0†;0.0033;0.0086;0.0013;0.9781;0.0040;0.0007;0.0000;0.0000;0.0007;0.0000;0.0000;0.0000;0.0027;0.0007
”»  π132;2121†;2014†;7†;7†;2014†;0†;0.0010;0.0099;0.0005;0.9782;0.0035;0.0000;0.0000;0.0000;0.0020;0.0020;0.0000;0.0000;0.0030;0.0000
”»  π133;1850†;1757†;7†;7†;1757†;0†;0.0034;0.0045;0.0028;0.9779;0.0040;0.0000;0.0000;0.0000;0.0006;0.0006;0.0000;0.0000;0.0045;0.0017
”»  π134;2212†;2104†;9†;9†;2104†;1†;0.0052;0.0080;0.0005;0.9778;0.0005;0.0005;0.0000;0.0000;0.0014;0.0000;0.0000;0.0000;0.0047;0.0009
”»  π135;1768†;1670†;6†;6†;1670†;0†;0.0042;0.0072;0.0024;0.9779;0.0036;0.0000;0.0000;0.0000;0.0006;0.0006;0.0000;0.0000;0.0012;0.0024
”»  π136;1877†;1783†;7†;7†;1783†;2†;0.0022;0.0050;0.0011;0.9771;0.0045;0.0000;0.0000;0.0000;0.0006;0.0006;0.0000;0.0000;0.0073;0.0006
”»  π137;2803†;2687†;6†;6†;2687†;0†;0.0015;0.0067;0.0030;0.9781;0.0033;0.0004;0.0000;0.0000;0.0015;0.0004;0.0000;0.0000;0.0026;0.0026
”»  π138;1608†;1526†;6†;6†;1526†;2†;0.0039;0.0098;0.0007;0.9772;0.0026;0.0000;0.0000;0.0000;0.0007;0.0000;0.0000;0.0000;0.0020;0.0020
”»  π139;1283†;1217†;5†;5†;1217†;0†;0.0057;0.0090;0.0016;0.9779;0.0025;0.0000;0.0000;0.0000;0.0008;0.0008;0.0000;0.0000;0.0016;0.0000
”»  π140;2895†;2776†;8†;8†;2776†;1†;0.0043;0.0065;0.0018;0.9777;0.0029;0.0000;0.0000;0.0000;0.0011;0.0011;0.0004;0.0000;0.0007;0.0032
”»  π141;494†;466†;0†;0†;466†;1†;0.0043;0.0086;0.0000;0.9764;0.0043;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0021;0.0021
”»  π142;815†;780†;3†;3†;780†;1†;0.0038;0.0089;0.0051;0.9770;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0013;0.0000;0.0026;0.0000
”»  π143;2560†;2457†;9†;9†;2457†;0†;0.0036;0.0073;0.0020;0.9785;0.0036;0.0004;0.0000;0.0000;0.0012;0.0000;0.0000;0.0000;0.0028;0.0004
”»  π144;1149†;1082†;7†;7†;1082†;1†;0.0083;0.0110;0.0009;0.9770;0.0000;0.0000;0.0000;0.0000;0.0009;0.0000;0.0000;0.0000;0.0000;0.0009
”»  π145;2088†;1996†;9†;9†;1996†;0†;0.0040;0.0085;0.0005;0.9781;0.0035;0.0000;0.0000;0.0000;0.0010;0.0000;0.0000;0.0000;0.0015;0.0030
”»  π146;1176†;1123†;6†;6†;1123†;2†;0.0062;0.0018;0.0000;0.9761;0.0080;0.0000;0.0000;0.0000;0.0009;0.0009;0.0000;0.0000;0.0044;0.0000
”»  π436;1001†;954†;2†;2†;954†;1†;0.0031;0.0042;0.0021;0.9770;0.0052;0.0000;0.0000;0.0000;0.0010;0.0000;0.0000;0.0000;0.0052;0.0010
”»  π450;1260†;1223†;0†;0†;1223†;0†;0.0016;0.0016;0.0033;0.9706;0.0106;0.0008;0.0000;0.0000;0.0008;0.0000;0.0008;0.0000;0.0082;0.0016
”»  π463;460†;440†;0†;0†;440†;2†;0.0045;0.0114;0.0000;0.9636;0.0136;0.0000;0.0000;0.0000;0.0000;0.0023;0.0000;0.0000;0.0000;0.0000
”»  π147;578†;540†;11†;11†;540†;1†;0.0018;0.0054;0.0000;0.9437;0.0036;0.0000;0.0000;0.0000;0.0018;0.0036;0.0000;0.0000;0.0218;0.0163
”»  π148;579†;534†;13†;13†;534†;1†;0.0037;0.0018;0.0000;0.9707;0.0055;0.0000;0.0000;0.0000;0.0037;0.0018;0.0018;0.0000;0.0055;0.0037
”»  π149;256†;231†;7†;7†;231†;0†;0.0042;0.0084;0.0000;0.9202;0.0084;0.0042;0.0000;0.0000;0.0042;0.0042;0.0000;0.0000;0.0294;0.0168
